Question,SQL Query,Method,Table,Constraints,Label
What is the average between direct and indirect group consumption of energy of the percentage ratios between 2021 and 2023?,[],one-table-multistep_ratio_average,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],141.2
What is the average between direct and indirect consumption of energy of the percentage ratios between 2022 (full consolidated) and 2023 (group?,[],one-table-multistep_ratio_average,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],106.35
What is the average between direct and indirect fully consolidated consumption of energy of the sums between the years 2022 and 2021?,[],one-table-multistep_sum_average,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],15056
What is the average between direct and total fully consolidated consumption of energy of the percentage ratios between 2023 and 2022?,[],one-table-multistep_ratio_average,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],87.91
"What is the sum between direct and indirect consumption of energy of the averages between the years 2023 (full consolidated), 2022 (group)?",[],one-table-multistep_average_sum,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],15902
"What are the top 2 highest values between direct and indirect fully consolidated consumption of energy of the averages (in descending order) between the years 2021, 2022?",[],one-table-multistep_average_ranking,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],"14683.0, 373.0"
"Which are the top 2 lowest values between direct and indirect group consumption of energy of the sums (in ascending order) between the years 2021, 2022, 2023?",[],one-table-multistep_sum_ranking,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],"1765.0, 45170.0"
"What is the value between direct and indirect consumption of energy of the highest sum in the years 2021 (full consolidated), 2021 (group), 2022 (group), 2023 (full consolidated)?",[],one-table-multistep_sum_sup,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],58253
"What is the sum between direct and indirect consumption of energy of the averages between the years 2023 (group), 2023 (fully consolidated), 2021 (fully consolidated), 2021 (group), 2022 (fully consolidated)?",[],one-table-multistep_average_sum,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],14825.8
"What is the value between indirect and direct fully consolidated consumption of energy of the highest sum in the years 2022, 2021?",[],one-table-multistep_sum_sup,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total direct consumption of energy</td>
      <td>(TJ)</td>
      <td>14334</td>
      <td>14092</td>
      <td>16665</td>
      <td>16041</td>
      <td>14171</td>
      <td>13325</td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(TJ)</td>
      <td>377</td>
      <td>351</td>
      <td>696</td>
      <td>380</td>
      <td>692</td>
      <td>366</td>
    </tr>
    <tr>
      <td>Total consumption of energy</td>
      <td>(TJ)</td>
      <td>14715</td>
      <td>14447</td>
      <td>17361</td>
      <td>16421</td>
      <td>14863</td>
      <td>13691</td>
    </tr>
    <tr>
      <td>Energy from renewable sources</td>
      <td>(%)</td>
      <td>9.76</td>
      <td>9.92</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>Energy intensity</td>
      <td>(TJ/EUR mln)</td>
      <td>1.2</td>
      <td>-</td>
      <td>1.7</td>
      <td>-</td>
      <td>2.1</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],29366
"What is the average between electricity consumed from the grid and electricity consumed from the grid, but produced by renewable sources of the percentage ratios between 2021 (full consolidated) and 2021 (group total)?",[],one-table-multistep_ratio_average,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
      <th>Unnamed: 8</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group  Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td>Group Total</td>
      <td>Full consolidated</td>
      <td></td>
    </tr>
    <tr>
      <td>Total indirect consumption of energy</td>
      <td>(MWh)</td>
      <td>40496</td>
      <td>37789</td>
      <td>78551</td>
      <td>45760</td>
      <td>71868</td>
      <td>37975</td>
      <td></td>
    </tr>
    <tr>
      <td>Electricity consumed from the grid</td>
      <td>(MWh)</td>
      <td>38134</td>
      <td>35427</td>
      <td>68120</td>
      <td>35329</td>
      <td>71569</td>
      <td>37676</td>
      <td></td>
    </tr>
    <tr>
      <td>Of which produced from renewable sources</td>
      <td></td>
      <td>14399</td>
      <td>13676</td>
      <td>16133</td>
      <td>14680</td>
      <td>9367</td>
      <td>7860</td>
      <td></td>
    </tr>
    <tr>
      <td>Thermal energy consumed</td>
      <td>(MWh)</td>
      <td>1977</td>
      <td>1977</td>
      <td>10066</td>
      <td>10066</td>
      <td>-</td>
      <td>-</td>
      <td></td>
    </tr>
    <tr>
      <td>Electricity self-produced from renewable sources</td>
      <td>(MWh)</td>
      <td>384.3</td>
      <td>384.3</td>
      <td>365.2</td>
      <td>365.2</td>
      <td>298.9</td>
      <td>298.9</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",[],68.28
Which are the top 2 lowest values between location based and market based total emissions of the percentage ratios (in ascending order) between the year 2021 (full consolidated) and 2022 (full consolidated)?,[],one-table-multistep_ratio_ranking,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group total</td>
      <td>Full consolidated</td>
      <td>Group total</td>
      <td>Full Consolidated</td>
      <td>Group total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total emissions</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>(Location-based Scope 1, 2 and 3)</td>
      <td>(kt CO2eq)</td>
      <td>6446.7</td>
      <td>6340.3</td>
      <td>4385.6</td>
      <td>3642.5</td>
      <td>2664.5</td>
      <td>2355.9</td>
    </tr>
    <tr>
      <td>Total emissions</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>(Market-based Scope 1, 2 and 3)</td>
      <td>(kt CO2eq)</td>
      <td>6446.5</td>
      <td>6340.2</td>
      <td>4383.3</td>
      <td>3640.5</td>
      <td>2662.4</td>
      <td>2403.9</td>
    </tr>
    <tr>
      <td>Emission intensity</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>(Market-based Scope 1, 2)</td>
      <td>(kt CO2 eq/EUR mln)</td>
      <td>87.7</td>
      <td>-</td>
      <td>125.4</td>
      <td>-</td>
      <td>156.5</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],"64.68, 66.03"
"Which are the top 2 highest values between location based and market based total emissions of the sums (in descending order) between the years 2022 (group), 2021 (full consolidated), 2021 (group), 2022 (full consolidated?",[],one-table-multistep_sum_ranking,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group total</td>
      <td>Full consolidated</td>
      <td>Group total</td>
      <td>Full Consolidated</td>
      <td>Group total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total emissions</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>(Location-based Scope 1, 2 and 3)</td>
      <td>(kt CO2eq)</td>
      <td>6446.7</td>
      <td>6340.3</td>
      <td>4385.6</td>
      <td>3642.5</td>
      <td>2664.5</td>
      <td>2355.9</td>
    </tr>
    <tr>
      <td>Total emissions</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>(Market-based Scope 1, 2 and 3)</td>
      <td>(kt CO2eq)</td>
      <td>6446.5</td>
      <td>6340.2</td>
      <td>4383.3</td>
      <td>3640.5</td>
      <td>2662.4</td>
      <td>2403.9</td>
    </tr>
    <tr>
      <td>Emission intensity</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>(Market-based Scope 1, 2)</td>
      <td>(kt CO2 eq/EUR mln)</td>
      <td>87.7</td>
      <td>-</td>
      <td>125.4</td>
      <td>-</td>
      <td>156.5</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],"13090.1, 13048.5"
What is the value between location based and market based total emissions of the highest percentage ratio between 2022 (group) and 2022 (full consolidated?,[],one-table-multistep_ratio_sup,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group total</td>
      <td>Full consolidated</td>
      <td>Group total</td>
      <td>Full Consolidated</td>
      <td>Group total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total emissions</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>(Location-based Scope 1, 2 and 3)</td>
      <td>(kt CO2eq)</td>
      <td>6446.7</td>
      <td>6340.3</td>
      <td>4385.6</td>
      <td>3642.5</td>
      <td>2664.5</td>
      <td>2355.9</td>
    </tr>
    <tr>
      <td>Total emissions</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>(Market-based Scope 1, 2 and 3)</td>
      <td>(kt CO2eq)</td>
      <td>6446.5</td>
      <td>6340.2</td>
      <td>4383.3</td>
      <td>3640.5</td>
      <td>2662.4</td>
      <td>2403.9</td>
    </tr>
    <tr>
      <td>Emission intensity</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>(Market-based Scope 1, 2)</td>
      <td>(kt CO2 eq/EUR mln)</td>
      <td>87.7</td>
      <td>-</td>
      <td>125.4</td>
      <td>-</td>
      <td>156.5</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],120.4
What is the average between location based and market based group total emissions of the percentage ratios between 2021 and 2023?,[],one-table-multistep_ratio_average,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Unnamed: 0</th>
      <th></th>
      <th>2023</th>
      <th>2023.1</th>
      <th>2022</th>
      <th>2022.1</th>
      <th>2021</th>
      <th>2021.1</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>NaN</td>
      <td></td>
      <td>Group total</td>
      <td>Full consolidated</td>
      <td>Group total</td>
      <td>Full Consolidated</td>
      <td>Group total</td>
      <td>Full consolidated</td>
    </tr>
    <tr>
      <td>Total emissions</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>(Location-based Scope 1, 2 and 3)</td>
      <td>(kt CO2eq)</td>
      <td>6446.7</td>
      <td>6340.3</td>
      <td>4385.6</td>
      <td>3642.5</td>
      <td>2664.5</td>
      <td>2355.9</td>
    </tr>
    <tr>
      <td>Total emissions</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>(Market-based Scope 1, 2 and 3)</td>
      <td>(kt CO2eq)</td>
      <td>6446.5</td>
      <td>6340.2</td>
      <td>4383.3</td>
      <td>3640.5</td>
      <td>2662.4</td>
      <td>2403.9</td>
    </tr>
    <tr>
      <td>Emission intensity</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>(Market-based Scope 1, 2)</td>
      <td>(kt CO2 eq/EUR mln)</td>
      <td>87.7</td>
      <td>-</td>
      <td>125.4</td>
      <td>-</td>
      <td>156.5</td>
      <td>-</td>
    </tr>
  </tbody>
</table>",[],41.31
