sales_id,month_name,month,quarter,year,is_weekend,gender,customer_country,customer_state,customer_city,category,brand,product_name,region,store_country,store_city,quantity_sold,unit_price,discount,total_amount
75,July,7,3,2025,0,M,Libyan Arab Jamahiriya,Wyoming,Brandonside,Electronics,BrandD,Soon During,East,Montenegro,Port Kevinberg,1,151.75,0.76,150.99
76,January,1,1,2025,0,F,Algeria,Arizona,Lake Earlview,Sports,BrandE,Over Story,North,Ethiopia,Ramirezhaven,1,315.95,33.2,282.75
77,October,10,4,2023,1,M,Uzbekistan,Arkansas,Kathrynbury,Books,BrandA,Before Nearly,South,Barbados,Aprilhaven,2,565.34,23.84,1106.84
78,November,11,4,2023,0,F,Burkina Faso,Maryland,East Jessica,Electronics,BrandB,Those Describe,West,Nauru,South Spencershire,2,402.81,11.66,793.96
79,January,1,1,2024,0,M,Myanmar,Oregon,New Russellton,Clothing,BrandA,Religious Others,North,Montenegro,Tylerhaven,2,295.42,16.24,574.6
80,June,6,2,2025,0,M,Micronesia,Delaware,Lake William,Electronics,BrandB,Director Note,North,Singapore,West Josephton,1,477.17,15.3,461.87
81,December,12,4,2024,0,F,United Kingdom,Rhode Island,New Derrickhaven,Sports,BrandB,Record Step,East,Switzerland,Charleneshire,2,321.35,8.28,634.42
82,March,3,1,2024,0,M,Central African Republic,Texas,Potterport,Books,BrandC,Sing Language,South,Nauru,Port Shelley,4,894.79,10.81,3568.35
83,December,12,4,2024,1,M,Senegal,Virginia,Paulabury,Books,BrandD,Environmental Product,West,Botswana,Kimberlyshire,1,563.95,17.24,546.71
84,December,12,4,2024,0,F,China,Alaska,Lindaview,Sports,BrandD,Bring Prove,West,Venezuela,Lake Sethfurt,2,284.76,33.36,536.16
85,December,12,4,2024,0,F,Maldives,New Hampshire,New Peggyhaven,Electronics,BrandB,Raise Plant,North,Ethiopia,Ramirezhaven,5,782.86,25.77,3888.53
86,July,7,3,2025,0,M,Rwanda,Louisiana,Spearsland,Sports,BrandC,Alone Family,Central,United Kingdom,Michaelfort,9,58.59,17.19,510.12
87,July,7,3,2024,0,F,Croatia,Minnesota,Kaylaport,Home & Kitchen,BrandC,Sell Enter,Central,Ukraine,Clarkshire,9,403.88,29.1,3605.82
88,June,6,2,2024,1,F,Mozambique,Vermont,South Kristopherborough,Sports,BrandC,Car Report,Central,Botswana,Bowersland,3,503.36,20.62,1489.46
89,May,5,2,2025,1,M,Saint Helena,Oklahoma,East Michael,Home & Kitchen,BrandE,Agree Send,Central,Christmas Island,New Paultown,7,405.49,42.04,2796.39
90,February,2,1,2024,0,F,Estonia,Texas,New Darlene,Clothing,BrandB,Worry Major,Central,Malawi,Lake Hollyside,6,132.19,16.76,776.38
91,May,5,2,2024,1,F,Nicaragua,Michigan,Port Anthony,Sports,BrandE,Song No,Central,Sudan,Whitneyborough,4,452.24,2.79,1806.17
92,August,8,3,2025,0,M,Bouvet Island (Bouvetoya),North Dakota,North Samuel,Books,BrandB,That Red,Central,Bangladesh,Perezview,3,178.54,29.28,506.34
93,May,5,2,2024,1,M,Maldives,Oklahoma,New Matthew,Sports,BrandD,Part Must,North,Singapore,West Josephton,7,210.26,37.6,1434.22
94,April,4,2,2024,0,F,Colombia,Ohio,Port Joshuachester,Home & Kitchen,BrandB,Factor Ago,Central,Malawi,Lake Hollyside,10,196.25,37.51,1924.99
95,April,4,2,2025,0,M,Estonia,Florida,New Aprilhaven,Books,BrandB,Particular Suddenly,West,Benin,Lopezchester,9,156.61,11.75,1397.74
96,August,8,3,2025,1,F,Mozambique,Arizona,East Katherineborough,Toys,BrandC,Whom Structure,West,Samoa,Prestonmouth,8,285.35,18.1,2264.7
97,July,7,3,2024,0,F,United Kingdom,Louisiana,North Glenn,Toys,BrandD,Shake True,North,Denmark,South Michaelfurt,3,883.84,26.35,2625.17
98,February,2,1,2025,0,F,Kiribati,Oregon,Harrisonshire,Home & Kitchen,BrandB,Build Air,Central,Bangladesh,Perezview,6,741.8,26.04,4424.76
99,January,1,1,2024,0,M,Vietnam,Oregon,Davidport,Clothing,BrandE,Say Here,East,Hong Kong,East Ariel,10,735.06,39.71,7310.89
100,December,12,4,2023,1,M,Czech Republic,New Hampshire,Christopherhaven,Home & Kitchen,BrandE,Tax Commercial,West,Bolivia,Port Matthewhaven,4,201.87,10.55,796.93
101,July,7,3,2024,0,F,Djibouti,Wyoming,Nicholasstad,Toys,BrandA,Pass Resource,South,Tuvalu,Port Tinaland,2,994.42,23.43,1965.41
102,February,2,1,2024,0,M,Cote d'Ivoire,Michigan,North Stevenside,Sports,BrandD,Modern Employee,Central,Guadeloupe,Lake Matthewton,6,844.1,49.57,5015.03
103,June,6,2,2025,1,M,Chad,Vermont,Rebeccaberg,Clothing,BrandA,Despite Also,Central,British Virgin Islands,Guerraside,3,507.12,20.91,1500.45
104,July,7,3,2025,0,M,Mauritius,New York,New Gregorybury,Clothing,BrandE,Course Security,West,Congo,Gibsonhaven,6,404.06,4.36,2420.0
105,May,5,2,2025,1,F,Slovakia (Slovak Republic),Virginia,East Katherine,Sports,BrandD,Receive Total,South,Cocos (Keeling) Islands,Brooksville,1,492.97,8.94,484.03
106,April,4,2,2024,0,F,Luxembourg,Alabama,Marthafort,Electronics,BrandB,Raise Plant,North,Denmark,South Michaelfurt,6,276.21,41.74,1615.52
107,June,6,2,2025,0,F,Congo,Rhode Island,North Jerrymouth,Clothing,BrandC,From Staff,South,Jamaica,Deleonmouth,6,837.76,27.86,4998.7
108,January,1,1,2025,0,F,United Kingdom,Louisiana,North Glenn,Home & Kitchen,BrandA,Role Result,North,Ethiopia,Ramirezhaven,1,982.86,8.85,974.01
109,September,9,3,2024,0,F,Eritrea,Vermont,North Lisaport,Sports,BrandD,Consumer Blue,East,Switzerland,Charleneshire,7,610.86,5.0,4271.02
110,June,6,2,2025,0,M,Korea,Iowa,Allenburgh,Sports,BrandB,Teach Television,West,Samoa,Prestonmouth,10,804.19,49.45,7992.45
111,May,5,2,2025,0,M,Solomon Islands,Nevada,Elizabethland,Clothing,BrandB,Writer Industry,North,Singapore,West Josephton,9,673.95,19.23,6046.32
112,September,9,3,2024,1,F,Papua New Guinea,Rhode Island,East Tanyaville,Toys,BrandE,Fill Theory,West,Samoa,Prestonmouth,9,438.65,36.59,3911.26
113,August,8,3,2024,0,M,Mozambique,New York,Petersonstad,Books,BrandB,Item Woman,East,Bhutan,Daytown,9,30.25,8.24,264.01
114,August,8,3,2025,1,M,Jamaica,South Dakota,Rebeccafurt,Clothing,BrandC,Figure Method,Central,United Kingdom,Michaelfort,4,368.48,15.6,1458.32
115,February,2,1,2024,1,M,Myanmar,Oregon,New Russellton,Clothing,BrandE,Law Economy,West,Botswana,Kimberlyshire,8,499.53,47.35,3948.89
116,September,9,3,2025,1,M,Grenada,Pennsylvania,East Michael,Home & Kitchen,BrandD,During On,Central,British Virgin Islands,Guerraside,4,247.28,22.76,966.36
117,January,1,1,2025,1,F,Kenya,New Hampshire,South Anthonymouth,Clothing,BrandE,Work Ten,West,Indonesia,Ramirezfurt,10,579.47,9.71,5784.99
118,December,12,4,2023,0,F,Italy,New York,Lake Angelatown,Books,BrandD,Deal Could,East,Bhutan,Daytown,9,950.7,11.72,8544.58
119,May,5,2,2024,0,F,Montenegro,Utah,Bradfordview,Sports,BrandD,Garden Republican,East,Montenegro,Port Kevinberg,1,120.57,38.41,82.16
120,August,8,3,2024,1,F,Eritrea,Vermont,North Lisaport,Home & Kitchen,BrandD,Tend Environmental,South,Fiji,Angelaton,5,519.05,33.57,2561.68
121,March,3,1,2024,1,F,Kiribati,Hawaii,West Maryville,Clothing,BrandB,Side Meeting,West,Nicaragua,South Brianhaven,8,309.29,14.43,2459.89
122,April,4,2,2024,0,M,Bolivia,West Virginia,Robintown,Books,BrandB,Even Behavior,East,Switzerland,Charleneshire,6,613.92,17.86,3665.66
123,July,7,3,2025,0,F,Saint Lucia,Virginia,Hannahstad,Clothing,BrandC,Face Movie,Central,Malawi,Lake Hollyside,4,51.32,38.12,167.16
124,April,4,2,2024,0,M,United States Virgin Islands,Wyoming,Brookechester,Clothing,BrandD,Response Team,South,Panama,Lake Johnhaven,6,753.18,3.32,4515.76
125,May,5,2,2024,0,M,Turks and Caicos Islands,West Virginia,New Larryborough,Books,BrandE,Form Feel,West,Congo,Gibsonhaven,4,580.24,27.28,2293.68
126,January,1,1,2024,0,F,Saint Martin,California,New Angela,Electronics,BrandE,Relate Laugh,South,Venezuela,Jonathontown,5,606.0,11.65,3018.35
127,December,12,4,2023,0,M,Solomon Islands,Washington,New Sarah,Clothing,BrandB,Tough Book,South,Jordan,Kevinville,2,704.03,42.32,1365.74
128,March,3,1,2025,0,F,Malawi,Oklahoma,East Jeffrey,Books,BrandB,Among Manager,Central,Bulgaria,New Melissa,4,21.31,32.7,52.54
129,November,11,4,2023,0,M,Slovenia,North Carolina,Jonland,Sports,BrandA,Water Truth,North,El Salvador,Toddchester,4,957.41,41.4,3788.24
130,January,1,1,2025,0,F,Italy,New York,Lake Angelatown,Toys,BrandE,Soldier Attack,Central,Ukraine,Clarkshire,6,123.69,29.03,713.11
131,October,10,4,2023,0,M,British Virgin Islands,New Jersey,Gardnerview,Electronics,BrandD,Social According,Central,Christmas Island,New Paultown,6,162.46,23.72,951.04
132,January,1,1,2025,0,M,Saint Helena,New York,West Jennifershire,Sports,BrandE,Get In,West,Canada,South Shari,2,606.01,0.13,1211.89
133,June,6,2,2024,0,F,Belarus,Virginia,Nicoleville,Sports,BrandA,Thing Probably,North,Singapore,West Josephton,10,517.6,26.94,5149.06
134,December,12,4,2023,0,F,Northern Mariana Islands,Kansas,Nealchester,Electronics,BrandE,Reality Young,West,Nicaragua,South Brianhaven,6,410.42,22.69,2439.83
135,March,3,1,2025,0,M,American Samoa,Colorado,Lake Renee,Sports,BrandD,Must Factor,West,Canada,South Shari,8,113.47,39.9,867.86
136,May,5,2,2025,0,M,Korea,New Hampshire,Bergerland,Toys,BrandE,Serve Situation,Central,Egypt,South Kyle,8,781.13,47.91,6201.13
137,June,6,2,2024,1,M,Mali,Illinois,West Michaelbury,Clothing,BrandD,Cell Last,South,Tuvalu,Port Tinaland,5,718.36,45.27,3546.53
138,April,4,2,2025,0,M,Ghana,California,East Lisaberg,Sports,BrandD,Part Must,Central,Cuba,Barnettfort,6,924.08,22.81,5521.67
139,June,6,2,2025,1,F,Nauru,Tennessee,New Benjamin,Home & Kitchen,BrandC,Will Among,Central,Cuba,Barnettfort,3,439.51,24.93,1293.6
140,April,4,2,2024,1,F,Central African Republic,Idaho,Robertport,Books,BrandE,Majority Court,West,Samoa,Prestonmouth,1,218.6,15.12,203.48
141,March,3,1,2025,0,F,Svalbard & Jan Mayen Islands,South Dakota,Walkerton,Clothing,BrandE,Entire Education,North,New Caledonia,Jeffreyberg,7,480.68,28.59,3336.17
142,July,7,3,2024,1,M,Dominica,Maryland,Griffinhaven,Clothing,BrandD,Able Hit,Central,British Virgin Islands,Guerraside,2,109.15,44.14,174.16
143,April,4,2,2025,0,M,Mali,Illinois,West Michaelbury,Home & Kitchen,BrandE,Old Machine,West,Benin,Lopezchester,9,210.69,41.77,1854.44
144,May,5,2,2025,0,F,Jamaica,Wisconsin,Lake Robert,Toys,BrandD,Shake True,West,Bolivia,Port Matthewhaven,5,271.52,23.26,1334.34
145,May,5,2,2024,0,F,Luxembourg,Hawaii,Tracyview,Clothing,BrandB,Sense Who,North,Singapore,West Josephton,4,300.81,36.61,1166.63
146,March,3,1,2025,0,M,Nigeria,Alaska,Scottview,Electronics,BrandC,Main Much,South,Venezuela,Jonathontown,8,414.56,27.27,3289.21
147,May,5,2,2025,0,M,Burundi,South Dakota,West Jenna,Books,BrandD,Deal Could,North,Barbados,Port Ryanland,2,828.18,38.81,1617.55
148,November,11,4,2024,0,M,Germany,Nevada,New Williamside,Clothing,BrandE,Work Ten,Central,British Virgin Islands,Guerraside,9,263.04,45.11,2322.25
149,June,6,2,2025,0,M,Uganda,Oregon,Antoniobury,Books,BrandB,Ball Camera,East,Montenegro,Port Kevinberg,9,513.9,45.47,4579.63
150,August,8,3,2025,0,M,Solomon Islands,North Dakota,Douglasmouth,Home & Kitchen,BrandE,Century Close,East,Taiwan,North Tyler,4,661.8,11.6,2635.6
151,February,2,1,2025,0,M,Antigua and Barbuda,Kentucky,South Megan,Books,BrandE,Site Policy,North,Montenegro,Tylerhaven,1,834.81,9.27,825.54
152,March,3,1,2025,1,F,Dominica,Louisiana,Parksville,Sports,BrandA,Effort Statement,Central,Cuba,Barnettfort,4,615.95,42.52,2421.28
153,June,6,2,2024,0,M,Vietnam,Oregon,Davidport,Sports,BrandD,Consumer Blue,Central,Botswana,Bowersland,5,486.65,42.66,2390.59
154,March,3,1,2025,0,F,Saint Kitts and Nevis,Maryland,East Ashleyshire,Clothing,BrandE,Line Or,East,Aruba,North Matthew,2,160.88,21.78,299.98
155,February,2,1,2025,0,M,Tokelau,Washington,Guerreromouth,Home & Kitchen,BrandA,Across Vote,North,Singapore,West Josephton,6,719.98,12.91,4306.97
156,May,5,2,2024,0,F,Guadeloupe,New Mexico,New Adam,Electronics,BrandE,Wide At,West,Bolivia,Port Matthewhaven,2,660.78,39.5,1282.06
157,June,6,2,2025,0,M,Solomon Islands,Washington,New Sarah,Books,BrandD,Home System,East,Aruba,North Matthew,6,986.12,30.47,5886.25
158,July,7,3,2025,0,F,Guernsey,California,Port Angelamouth,Books,BrandA,Available Research,East,Palestinian Territory,Nguyenside,3,461.18,17.21,1366.33
159,October,10,4,2024,1,F,Seychelles,Iowa,South Sarah,Clothing,BrandB,Part Right,West,Nicaragua,South Brianhaven,5,276.26,26.03,1355.27
160,November,11,4,2024,0,F,Cocos (Keeling) Islands,Texas,Lake Jenniferborough,Books,BrandD,Realize Face,Central,Malawi,Lake Hollyside,5,678.72,21.28,3372.32
161,January,1,1,2025,1,F,Mozambique,Vermont,South Kristopherborough,Home & Kitchen,BrandC,Group Order,East,Switzerland,Charleneshire,4,360.47,2.41,1439.47
162,July,7,3,2025,0,F,Algeria,Arizona,Lake Earlview,Electronics,BrandE,Reality Young,West,Botswana,Kimberlyshire,8,927.22,32.09,7385.67
163,June,6,2,2025,0,M,Hungary,Illinois,Tamibury,Books,BrandA,Cost Include,North,El Salvador,Toddchester,10,142.2,49.66,1372.34
164,November,11,4,2023,0,F,San Marino,Wisconsin,Stewartside,Toys,BrandB,Myself Blood,South,Jordan,Kevinville,6,321.81,3.39,1927.47
165,February,2,1,2024,0,F,Morocco,Connecticut,Port Marcbury,Home & Kitchen,BrandA,Identify Family,West,Nicaragua,South Brianhaven,1,318.27,47.81,270.46
166,January,1,1,2024,0,F,Northern Mariana Islands,Kansas,Nealchester,Sports,BrandB,Benefit Popular,Central,Egypt,South Kyle,5,451.8,22.15,2236.85
167,July,7,3,2025,0,F,Croatia,Minnesota,Kaylaport,Clothing,BrandA,Finish Reveal,South,Tuvalu,Port Tinaland,7,794.12,38.62,5520.22
168,August,8,3,2025,0,M,Congo,Massachusetts,East Christianton,Clothing,BrandC,Send Story,East,Bhutan,Daytown,2,565.08,20.57,1109.59
169,January,1,1,2025,1,F,Eritrea,Wyoming,Lorihaven,Toys,BrandE,Serve Situation,East,Hong Kong,East Ariel,8,950.95,41.56,7566.04
170,October,10,4,2024,0,F,Congo,Rhode Island,North Jerrymouth,Clothing,BrandE,Enter Area,South,Nauru,Port Shelley,6,897.88,17.46,5369.82
171,December,12,4,2023,0,M,Sri Lanka,Washington,Aguilarport,Toys,BrandD,Feel Control,Central,British Virgin Islands,Guerraside,6,375.32,1.0,2250.92
172,February,2,1,2024,1,M,Djibouti,Virginia,North Richardmouth,Electronics,BrandB,Center How,West,Bolivia,Port Matthewhaven,7,123.9,36.96,830.34
173,October,10,4,2023,0,F,Ghana,Arizona,Miguelburgh,Toys,BrandD,Tv Various,East,Taiwan,North Tyler,5,330.84,2.03,1652.17
