ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerID,CustomerName,Address,City,Region,PostalCode,Country,Salesperson,OrderID,OrderDate,RequiredDate,ShippedDate,ShipperName,ProductID,ProductName,UnitPrice,Quantity,Discount,ExtendedPrice,Freight
Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,WELLI,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,0,10256,1996-07-15 00:00:00.000,1996-08-12 00:00:00.000,1996-07-17 00:00:00.000,United Package,53,Perth Pasties,26.2,15,0.0,393.0,13.97
Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,WELLI,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,0,10256,1996-07-15 00:00:00.000,1996-08-12 00:00:00.000,1996-07-17 00:00:00.000,United Package,77,Original Frankfurter grüne Soße,10.4,12,0.0,124.80000000000003,13.97
HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILAA,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,0,10257,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,1996-07-22 00:00:00.000,Federal Shipping,27,Schoggi Schokolade,35.1,25,0.0,877.5,81.91
HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILAA,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,0,10257,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,1996-07-22 00:00:00.000,Federal Shipping,39,Chartreuse verte,14.4,6,0.0,86.4,81.91
HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILAA,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,0,10257,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,1996-07-22 00:00:00.000,Federal Shipping,77,Original Frankfurter grüne Soße,10.4,15,0.0,156.0,81.91
Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,ERNSH,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,0,10258,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1996-07-23 00:00:00.000,Speedy Express,2,Chang,15.2,50,0.2,608.0,140.51
Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,ERNSH,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,0,10258,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1996-07-23 00:00:00.000,Speedy Express,5,Chef Anton's Gumbo Mix,17.0,65,0.2,884.0,140.51
Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,ERNSH,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,0,10258,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1996-07-23 00:00:00.000,Speedy Express,32,Mascarpone Fabioli,25.6,6,0.2,122.88000000000004,140.51
Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,5022,Mexico,CENTC,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,0,10259,1996-07-18 00:00:00.000,1996-08-15 00:00:00.000,1996-07-25 00:00:00.000,Federal Shipping,21,Sir Rodney's Scones,8.0,10,0.0,80.0,3.25
Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,5022,Mexico,CENTC,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,0,10259,1996-07-18 00:00:00.000,1996-08-15 00:00:00.000,1996-07-25 00:00:00.000,Federal Shipping,37,Gravad lax,20.8,1,0.0,20.8,3.25
Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,OTTIK,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,0,10260,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,Speedy Express,41,Jack's New England Clam Chowder,7.7,16,0.25,92.4,55.09
Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,OTTIK,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,0,10260,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,Speedy Express,57,Ravioli Angelo,15.6,50,0.0,780.0,55.09
Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,OTTIK,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,0,10260,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,Speedy Express,62,Tarte au sucre,39.4,15,0.25,443.25,55.09
Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,OTTIK,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,0,10260,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,Speedy Express,70,Outback Lager,12.0,21,0.25,189.0,55.09
Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,QUEDE,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,0,10261,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-30 00:00:00.000,United Package,21,Sir Rodney's Scones,8.0,20,0.0,160.0,3.05
Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,QUEDE,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,0,10261,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-30 00:00:00.000,United Package,35,Steeleye Stout,14.4,20,0.0,288.0,3.05
Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,RATTC,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,0,10262,1996-07-22 00:00:00.000,1996-08-19 00:00:00.000,1996-07-25 00:00:00.000,Federal Shipping,5,Chef Anton's Gumbo Mix,17.0,12,0.2,163.20000000000002,48.29
Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,RATTC,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,0,10262,1996-07-22 00:00:00.000,1996-08-19 00:00:00.000,1996-07-25 00:00:00.000,Federal Shipping,7,Uncle Bob's Organic Dried Pears,24.0,15,0.0,360.0,48.29
Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,RATTC,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,0,10262,1996-07-22 00:00:00.000,1996-08-19 00:00:00.000,1996-07-25 00:00:00.000,Federal Shipping,56,Gnocchi di nonna Alice,30.4,2,0.0,60.8,48.29
Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,ERNSH,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,0,10263,1996-07-23 00:00:00.000,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,Federal Shipping,16,Pavlova,13.9,60,0.25,625.5,146.06
Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,ERNSH,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,0,10263,1996-07-23 00:00:00.000,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,Federal Shipping,24,Guaraná Fantástica,3.6,28,0.0,100.8,146.06
Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,ERNSH,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,0,10263,1996-07-23 00:00:00.000,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,Federal Shipping,30,Nord-Ost Matjeshering,20.7,60,0.25,931.5,146.06
Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,ERNSH,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,0,10263,1996-07-23 00:00:00.000,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,Federal Shipping,74,Longlife Tofu,8.0,36,0.25,216.0,146.06
Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,FOLKO,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,0,10264,1996-07-24 00:00:00.000,1996-08-21 00:00:00.000,1996-08-23 00:00:00.000,Federal Shipping,2,Chang,15.2,35,0.0,532.0,3.67
Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,FOLKO,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,0,10264,1996-07-24 00:00:00.000,1996-08-21 00:00:00.000,1996-08-23 00:00:00.000,Federal Shipping,41,Jack's New England Clam Chowder,7.7,25,0.15,163.625,3.67
Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,BLONP,Blondesddsl père et fils,"24, place Kléber",Strasbourg,,67000,France,0,10265,1996-07-25 00:00:00.000,1996-08-22 00:00:00.000,1996-08-12 00:00:00.000,Speedy Express,17,Alice Mutton,31.2,30,0.0,936.0,55.28
Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,BLONP,Blondesddsl père et fils,"24, place Kléber",Strasbourg,,67000,France,0,10265,1996-07-25 00:00:00.000,1996-08-22 00:00:00.000,1996-08-12 00:00:00.000,Speedy Express,70,Outback Lager,12.0,20,0.0,240.0,55.28
Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,WARTH,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,0,10266,1996-07-26 00:00:00.000,1996-09-06 00:00:00.000,1996-07-31 00:00:00.000,Federal Shipping,12,Queso Manchego La Pastora,30.4,12,0.05,346.55999999999995,25.73
Frankenversand,Berliner Platz 43,München,,80805,Germany,FRANK,Frankenversand,Berliner Platz 43,München,,80805,Germany,0,10267,1996-07-29 00:00:00.000,1996-08-26 00:00:00.000,1996-08-06 00:00:00.000,Speedy Express,40,Boston Crab Meat,14.7,50,0.0,735.0,208.58
Frankenversand,Berliner Platz 43,München,,80805,Germany,FRANK,Frankenversand,Berliner Platz 43,München,,80805,Germany,0,10267,1996-07-29 00:00:00.000,1996-08-26 00:00:00.000,1996-08-06 00:00:00.000,Speedy Express,59,Raclette Courdavault,44.0,70,0.15,2618.0,208.58
Frankenversand,Berliner Platz 43,München,,80805,Germany,FRANK,Frankenversand,Berliner Platz 43,München,,80805,Germany,0,10267,1996-07-29 00:00:00.000,1996-08-26 00:00:00.000,1996-08-06 00:00:00.000,Speedy Express,76,Lakkalikööri,14.4,15,0.15,183.6,208.58
GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,GROSR,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,0,10268,1996-07-30 00:00:00.000,1996-08-27 00:00:00.000,1996-08-02 00:00:00.000,Federal Shipping,29,Thüringer Rostbratwurst,99.0,10,0.0,990.0,66.29
GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,GROSR,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,0,10268,1996-07-30 00:00:00.000,1996-08-27 00:00:00.000,1996-08-02 00:00:00.000,Federal Shipping,72,Mozzarella di Giovanni,27.8,4,0.0,111.20000000000002,66.29
White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,WHITC,White Clover Markets,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,0,10269,1996-07-31 00:00:00.000,1996-08-14 00:00:00.000,1996-08-09 00:00:00.000,Speedy Express,33,Geitost,2.0,60,0.05,113.99999999999999,4.56
White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,WHITC,White Clover Markets,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,0,10269,1996-07-31 00:00:00.000,1996-08-14 00:00:00.000,1996-08-09 00:00:00.000,Speedy Express,72,Mozzarella di Giovanni,27.8,20,0.05,528.1999999999999,4.56
Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,WARTH,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,0,10270,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-02 00:00:00.000,Speedy Express,36,Inlagd Sill,15.2,30,0.0,455.99999999999994,136.54
Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,WARTH,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,0,10270,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-02 00:00:00.000,Speedy Express,43,Ipoh Coffee,36.8,25,0.0,919.9999999999999,136.54
Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,SPLIR,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,0,10271,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-30 00:00:00.000,United Package,33,Geitost,2.0,24,0.0,48.0,4.54
Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,RATTC,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,0,10272,1996-08-02 00:00:00.000,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,United Package,20,Sir Rodney's Marmalade,64.8,6,0.0,388.79999999999995,98.03
Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,RATTC,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,0,10272,1996-08-02 00:00:00.000,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,United Package,31,Gorgonzola Telino,10.0,40,0.0,400.0,98.03
Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,RATTC,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,0,10272,1996-08-02 00:00:00.000,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,United Package,72,Mozzarella di Giovanni,27.8,24,0.0,667.2,98.03
QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany,QUICK,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,0,10273,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,Federal Shipping,10,Ikura,24.8,24,0.05,565.44,76.07
QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany,QUICK,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,0,10273,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,Federal Shipping,31,Gorgonzola Telino,10.0,15,0.05,142.5,76.07
QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany,QUICK,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,0,10273,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,Federal Shipping,33,Geitost,2.0,20,0.0,40.0,76.07
QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany,QUICK,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,0,10273,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,Federal Shipping,40,Boston Crab Meat,14.7,60,0.05,837.9,76.07
QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany,QUICK,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,0,10273,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,Federal Shipping,76,Lakkalikööri,14.4,33,0.05,451.43999999999994,76.07
Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,,51100,France,VINET,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,0,10274,1996-08-06 00:00:00.000,1996-09-03 00:00:00.000,1996-08-16 00:00:00.000,Speedy Express,71,Flotemysost,17.2,20,0.0,344.0,6.01
Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,,51100,France,VINET,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,0,10274,1996-08-06 00:00:00.000,1996-09-03 00:00:00.000,1996-08-16 00:00:00.000,Speedy Express,72,Mozzarella di Giovanni,27.8,7,0.0,194.6,6.01
Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,MAGAA,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,0,10275,1996-08-07 00:00:00.000,1996-09-04 00:00:00.000,1996-08-09 00:00:00.000,Speedy Express,24,Guaraná Fantástica,3.6,12,0.05,41.04,26.93
Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,MAGAA,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,0,10275,1996-08-07 00:00:00.000,1996-09-04 00:00:00.000,1996-08-09 00:00:00.000,Speedy Express,59,Raclette Courdavault,44.0,6,0.05,250.8,26.93
Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico,TORTU,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,0,10276,1996-08-08 00:00:00.000,1996-08-22 00:00:00.000,1996-08-14 00:00:00.000,Federal Shipping,10,Ikura,24.8,15,0.0,372.0,13.84
Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico,TORTU,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,0,10276,1996-08-08 00:00:00.000,1996-08-22 00:00:00.000,1996-08-14 00:00:00.000,Federal Shipping,13,Konbu,4.8,10,0.0,48.0,13.84
Morgenstern Gesundkost,Heerstr. 22,Leipzig,,4179,Germany,MORGK,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany,0,10277,1996-08-09 00:00:00.000,1996-09-06 00:00:00.000,1996-08-13 00:00:00.000,Federal Shipping,28,Rössle Sauerkraut,36.4,20,0.0,728.0,125.77
Morgenstern Gesundkost,Heerstr. 22,Leipzig,,4179,Germany,MORGK,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany,0,10277,1996-08-09 00:00:00.000,1996-09-06 00:00:00.000,1996-08-13 00:00:00.000,Federal Shipping,62,Tarte au sucre,39.4,12,0.0,472.79999999999995,125.77
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,0,10278,1996-08-12 00:00:00.000,1996-09-09 00:00:00.000,1996-08-16 00:00:00.000,United Package,44,Gula Malacca,15.5,16,0.0,248.0,92.69
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,0,10278,1996-08-12 00:00:00.000,1996-09-09 00:00:00.000,1996-08-16 00:00:00.000,United Package,59,Raclette Courdavault,44.0,15,0.0,660.0,92.69
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,0,10278,1996-08-12 00:00:00.000,1996-09-09 00:00:00.000,1996-08-16 00:00:00.000,United Package,63,Vegie-spread,35.1,8,0.0,280.8,92.69
