,Question,SQL Query,Method,Table,Label
17,How many hours did employees rated as underperforming in the Finance division log?,"SELECT HoursWorked FROM EmployeeProductivity WHERE Department = ""Finance"" AND PerformanceRating = ""Poor"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>PerformanceRating</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Finance</th>
      <td>2.368170</td>
      <td>2.347341</td>
      <td>16.472162</td>
      <td>70.859439</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>13.594082</td>
      <td>24.042880</td>
      <td>69.945154</td>
      <td>51.695651</td>
    </tr>
    <tr>
      <th>IT</th>
      <td>70.636563</td>
      <td>34.452129</td>
      <td>3.623457</td>
      <td>9.542069</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>58.829315</td>
      <td>30.820863</td>
      <td>20.641306</td>
      <td>32.099235</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>3.547323</td>
      <td>8.844893</td>
      <td>8.775883</td>
      <td>32.973602</td>
    </tr>
  </tbody>
</table>",70.859439
18,"What was the recognition amount granted for the Spot Award on April 5th, 2023?","SELECT RecognitionValue FROM EmployeeRecognition WHERE RecognitionType = ""Spot Award"" AND RecognitionDate = ""2023-04-05"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>RecognitionType</th>
      <th>Best Innovator</th>
      <th>Employee of the Month</th>
      <th>Spot Award</th>
      <th>Team Player</th>
    </tr>
    <tr>
      <th>RecognitionDate</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>2023-01-15</th>
      <td>87.709827</td>
      <td>260.190980</td>
      <td>117.446622</td>
      <td>1.930357</td>
    </tr>
    <tr>
      <th>2023-02-20</th>
      <td>5.358181</td>
      <td>189.668668</td>
      <td>204.115310</td>
      <td>225.129438</td>
    </tr>
    <tr>
      <th>2023-03-10</th>
      <td>412.625228</td>
      <td>494.329630</td>
      <td>347.613680</td>
      <td>470.286407</td>
    </tr>
    <tr>
      <th>2023-04-05</th>
      <td>272.783391</td>
      <td>398.249454</td>
      <td>419.507349</td>
      <td>345.071180</td>
    </tr>
  </tbody>
</table>",419.507349
19,What was the score representing unfavorable employee responses for the sales team in the latest year documented in the feedback data?,"SELECT FeedbackScore FROM EmployeeFeedback WHERE FeedbackType = ""Negative"" AND FeedbackDate = ""2023"" AND Department = ""Sales"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>FeedbackDate</th>
      <th colspan=""5"" halign=""left"">2021</th>
      <th colspan=""5"" halign=""left"">2022</th>
      <th colspan=""5"" halign=""left"">2023</th>
    </tr>
    <tr>
      <th>Department</th>
      <th>Finance</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
      <th>Finance</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
      <th>Finance</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>FeedbackType</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Negative</th>
      <td>4.144936</td>
      <td>1.667458</td>
      <td>4.815766</td>
      <td>1.653421</td>
      <td>3.699431</td>
      <td>4.790067</td>
      <td>3.897789</td>
      <td>3.504643</td>
      <td>4.814345</td>
      <td>3.293887</td>
      <td>3.832051</td>
      <td>3.127441</td>
      <td>1.208277</td>
      <td>3.221287</td>
      <td>1.079126</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>4.694446</td>
      <td>1.581194</td>
      <td>4.020692</td>
      <td>4.755169</td>
      <td>4.184410</td>
      <td>2.196197</td>
      <td>1.004478</td>
      <td>1.466312</td>
      <td>2.903001</td>
      <td>2.760143</td>
      <td>4.843893</td>
      <td>3.105649</td>
      <td>3.287376</td>
      <td>1.573108</td>
      <td>3.010729</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>4.109317</td>
      <td>2.144876</td>
      <td>1.145003</td>
      <td>4.363392</td>
      <td>4.488422</td>
      <td>2.031510</td>
      <td>2.351461</td>
      <td>4.602944</td>
      <td>1.818698</td>
      <td>3.559236</td>
      <td>4.467654</td>
      <td>2.000982</td>
      <td>1.610154</td>
      <td>2.159142</td>
      <td>3.811836</td>
    </tr>
  </tbody>
</table>",1.079126
20,What is the annual pay for a Senior Developer working within the Engineering division?,"SELECT Salary FROM EmployeeCompensation WHERE Department = ""Engineering"" AND JobTitle = ""Senior Developer"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Department</th>
      <th>Engineering</th>
      <th>Finance</th>
      <th>HR</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>JobTitle</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Analyst</th>
      <td>77401.794047</td>
      <td>52476.953277</td>
      <td>88691.892735</td>
      <td>70773.351878</td>
      <td>33963.681311</td>
    </tr>
    <tr>
      <th>Junior Developer</th>
      <td>123371.271809</td>
      <td>38638.437332</td>
      <td>38322.174768</td>
      <td>99552.912792</td>
      <td>142935.832581</td>
    </tr>
    <tr>
      <th>Manager</th>
      <td>104366.190583</td>
      <td>126902.080235</td>
      <td>68588.337195</td>
      <td>94401.177023</td>
      <td>78189.311291</td>
    </tr>
    <tr>
      <th>Sales Associate</th>
      <td>86726.062917</td>
      <td>51475.057703</td>
      <td>133995.619952</td>
      <td>83831.548089</td>
      <td>41356.869544</td>
    </tr>
    <tr>
      <th>Senior Developer</th>
      <td>69809.802971</td>
      <td>35470.986311</td>
      <td>58121.806429</td>
      <td>89173.775683</td>
      <td>105830.497621</td>
    </tr>
  </tbody>
</table>",69809.802971
21,What is the number of hours worked by HR employees in design positions who have been rated in the lowest performance category?,"SELECT WorkloadHours FROM EmployeeWorkload WHERE Department = ""HR"" AND Role = ""Designer"" AND PerformanceRating = ""Poor"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>Role</th>
      <th colspan=""4"" halign=""left"">Analyst</th>
      <th colspan=""4"" halign=""left"">Designer</th>
      <th colspan=""4"" halign=""left"">Developer</th>
      <th colspan=""4"" halign=""left"">Manager</th>
    </tr>
    <tr>
      <th>PerformanceRating</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>32.579936</td>
      <td>67.942148</td>
      <td>12.550091</td>
      <td>67.343806</td>
      <td>45.557803</td>
      <td>1.387964</td>
      <td>47.441736</td>
      <td>30.205570</td>
      <td>10.812863</td>
      <td>61.110180</td>
      <td>55.275786</td>
      <td>7.124540</td>
      <td>3.564072</td>
      <td>47.394880</td>
      <td>72.986032</td>
      <td>40.705810</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>38.992331</td>
      <td>18.983000</td>
      <td>6.520257</td>
      <td>64.961469</td>
      <td>17.926584</td>
      <td>59.570317</td>
      <td>7.047592</td>
      <td>8.594837</td>
      <td>31.411936</td>
      <td>64.212304</td>
      <td>36.511685</td>
      <td>61.895894</td>
      <td>16.315061</td>
      <td>52.682885</td>
      <td>39.913499</td>
      <td>43.188671</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>10.802360</td>
      <td>53.851577</td>
      <td>53.171738</td>
      <td>62.110084</td>
      <td>39.050123</td>
      <td>44.328679</td>
      <td>53.610094</td>
      <td>58.002891</td>
      <td>14.815007</td>
      <td>72.402969</td>
      <td>68.770383</td>
      <td>29.626021</td>
      <td>14.534828</td>
      <td>21.969067</td>
      <td>16.952296</td>
      <td>12.282275</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>42.274888</td>
      <td>52.726561</td>
      <td>41.147097</td>
      <td>23.101396</td>
      <td>39.427645</td>
      <td>25.735338</td>
      <td>56.080511</td>
      <td>62.503040</td>
      <td>67.111620</td>
      <td>77.739835</td>
      <td>13.516693</td>
      <td>57.431350</td>
      <td>67.563156</td>
      <td>1.363866</td>
      <td>59.357759</td>
      <td>42.753340</td>
    </tr>
  </tbody>
</table>",8.594837
22,What is the annual pay for employees working as Designers who report being very unhappy with their job?,"SELECT Salary FROM EmployeeJobSatisfaction WHERE JobRole = ""Designer"" AND SatisfactionLevel = ""Very Dissatisfied"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>SatisfactionLevel</th>
      <th>Dissatisfied</th>
      <th>Neutral</th>
      <th>Satisfied</th>
      <th>Very Dissatisfied</th>
      <th>Very Satisfied</th>
    </tr>
    <tr>
      <th>JobRole</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Analyst</th>
      <td>82864.497792</td>
      <td>48027.479744</td>
      <td>60380.153483</td>
      <td>77444.457477</td>
      <td>116486.380700</td>
    </tr>
    <tr>
      <th>Designer</th>
      <td>84465.888858</td>
      <td>126846.275629</td>
      <td>32994.476160</td>
      <td>115824.774329</td>
      <td>87621.963344</td>
    </tr>
    <tr>
      <th>Developer</th>
      <td>52490.115747</td>
      <td>52959.752799</td>
      <td>87029.044700</td>
      <td>138540.278693</td>
      <td>48323.657955</td>
    </tr>
    <tr>
      <th>Manager</th>
      <td>56571.760097</td>
      <td>149874.783307</td>
      <td>106018.638009</td>
      <td>63838.105588</td>
      <td>70565.241993</td>
    </tr>
  </tbody>
</table>",115824.774329
23,"What is the health score for employees who are unwell, follow a daily workout routine, and maintain a nutritious eating habit?","SELECT HealthScore FROM EmployeeHealth WHERE HealthStatus = ""Sick"" AND ExerciseFrequency = ""Daily"" AND DietQuality = ""Healthy"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>ExerciseFrequency</th>
      <th>Daily</th>
      <th>Rarely</th>
      <th>Weekly</th>
    </tr>
    <tr>
      <th>HealthStatus</th>
      <th>DietQuality</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Healthy</th>
      <th>Average</th>
      <td>1.322121</td>
      <td>8.274007</td>
      <td>55.729789</td>
    </tr>
    <tr>
      <th>Healthy</th>
      <td>2.447288</td>
      <td>37.134382</td>
      <td>73.211349</td>
    </tr>
    <tr>
      <th>Poor</th>
      <td>20.950894</td>
      <td>65.367099</td>
      <td>12.222324</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Injured</th>
      <th>Average</th>
      <td>13.570633</td>
      <td>0.296141</td>
      <td>99.686338</td>
    </tr>
    <tr>
      <th>Healthy</th>
      <td>45.919034</td>
      <td>96.068318</td>
      <td>23.236756</td>
    </tr>
    <tr>
      <th>Poor</th>
      <td>78.204961</td>
      <td>95.925365</td>
      <td>89.845620</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Sick</th>
      <th>Average</th>
      <td>29.904063</td>
      <td>28.115958</td>
      <td>77.620219</td>
    </tr>
    <tr>
      <th>Healthy</th>
      <td>8.746118</td>
      <td>90.315219</td>
      <td>32.135815</td>
    </tr>
    <tr>
      <th>Poor</th>
      <td>70.768839</td>
      <td>5.533577</td>
      <td>46.003594</td>
    </tr>
  </tbody>
</table>",8.746118
24,What is the percentage of HR developers who stayed with the company despite being forced to leave their positions?,"SELECT RetentionRate FROM EmployeeRetention WHERE Department = ""HR"" AND JobTitle = ""Developer"" AND ReasonForLeaving = ""Involuntary"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Department</th>
      <th>Finance</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>JobTitle</th>
      <th>ReasonForLeaving</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""4"" valign=""top"">Analyst</th>
      <th>Involuntary</th>
      <td>91.278294</td>
      <td>25.908089</td>
      <td>2.316299</td>
      <td>91.893724</td>
      <td>74.968346</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>98.274292</td>
      <td>70.318647</td>
      <td>67.064724</td>
      <td>70.523316</td>
      <td>48.583943</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>83.238176</td>
      <td>24.171032</td>
      <td>50.822286</td>
      <td>95.883796</td>
      <td>15.688643</td>
    </tr>
    <tr>
      <th>Voluntary</th>
      <td>12.907837</td>
      <td>17.719395</td>
      <td>78.875126</td>
      <td>25.768110</td>
      <td>21.002554</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Developer</th>
      <th>Involuntary</th>
      <td>77.629345</td>
      <td>47.455019</td>
      <td>56.561367</td>
      <td>2.785295</td>
      <td>60.279418</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>52.210252</td>
      <td>32.095990</td>
      <td>52.697240</td>
      <td>5.432478</td>
      <td>47.433707</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>63.764728</td>
      <td>90.923251</td>
      <td>21.828428</td>
      <td>57.895871</td>
      <td>17.479481</td>
    </tr>
    <tr>
      <th>Voluntary</th>
      <td>72.909262</td>
      <td>44.087584</td>
      <td>4.442252</td>
      <td>7.789290</td>
      <td>40.329347</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Executive</th>
      <th>Involuntary</th>
      <td>38.898802</td>
      <td>93.937377</td>
      <td>81.684681</td>
      <td>6.927777</td>
      <td>99.197294</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>21.878319</td>
      <td>66.724597</td>
      <td>49.112448</td>
      <td>20.415822</td>
      <td>86.823266</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>42.132905</td>
      <td>19.986531</td>
      <td>94.650602</td>
      <td>68.849554</td>
      <td>1.362391</td>
    </tr>
    <tr>
      <th>Voluntary</th>
      <td>55.095420</td>
      <td>20.918181</td>
      <td>49.218389</td>
      <td>28.855012</td>
      <td>38.984614</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Intern</th>
      <th>Involuntary</th>
      <td>44.749939</td>
      <td>26.931211</td>
      <td>70.777617</td>
      <td>2.941256</td>
      <td>26.680323</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>99.113118</td>
      <td>88.205443</td>
      <td>53.951815</td>
      <td>51.563089</td>
      <td>83.133628</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>74.365544</td>
      <td>51.734132</td>
      <td>45.107535</td>
      <td>55.365637</td>
      <td>8.639964</td>
    </tr>
    <tr>
      <th>Voluntary</th>
      <td>48.164928</td>
      <td>13.879631</td>
      <td>20.964777</td>
      <td>43.102617</td>
      <td>49.868458</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Manager</th>
      <th>Involuntary</th>
      <td>55.587231</td>
      <td>20.655445</td>
      <td>42.276004</td>
      <td>76.384031</td>
      <td>98.931011</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>26.860670</td>
      <td>51.033596</td>
      <td>27.375655</td>
      <td>33.370014</td>
      <td>36.779007</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>50.676654</td>
      <td>15.730854</td>
      <td>79.055896</td>
      <td>8.993678</td>
      <td>14.991003</td>
    </tr>
    <tr>
      <th>Voluntary</th>
      <td>30.668843</td>
      <td>80.556692</td>
      <td>51.138170</td>
      <td>44.507370</td>
      <td>52.529435</td>
    </tr>
  </tbody>
</table>",47.455019
25,What was the rating given for favorable management feedback at the end of the year 2023?,"SELECT FeedbackScore FROM EmployeeFeedbackScores WHERE FeedbackCategory = ""Management"" AND FeedbackType = ""Positive"" AND FeedbackDate = ""2023-12-31"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>FeedbackDate</th>
      <th>2020-01-01</th>
      <th>2023-12-31</th>
    </tr>
    <tr>
      <th>FeedbackCategory</th>
      <th>FeedbackType</th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Career Development</th>
      <th>Negative</th>
      <td>1.521440</td>
      <td>1.595564</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>3.589274</td>
      <td>3.901654</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>1.992981</td>
      <td>3.057342</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Compensation</th>
      <th>Negative</th>
      <td>3.594182</td>
      <td>3.227024</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>2.879173</td>
      <td>3.058854</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>3.978317</td>
      <td>3.337352</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Management</th>
      <th>Negative</th>
      <td>2.926474</td>
      <td>4.605395</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>4.334840</td>
      <td>4.379562</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>4.158612</td>
      <td>3.841718</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Team Dynamics</th>
      <th>Negative</th>
      <td>1.962316</td>
      <td>2.146581</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>2.563009</td>
      <td>1.726041</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>4.428377</td>
      <td>3.353119</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Work Environment</th>
      <th>Negative</th>
      <td>1.829263</td>
      <td>2.779828</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>1.964644</td>
      <td>3.992157</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>1.205648</td>
      <td>1.155222</td>
    </tr>
  </tbody>
</table>",3.841718
26,What is the typical amount of professional experience held by a mid-level project coordinator working within the financial sector?,"SELECT YearsOfExperience FROM EmployeeWorkExperience WHERE JobTitle = ""Project Manager"" AND Department = ""Finance"" AND SkillLevel = ""Intermediate"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>Department</th>
      <th colspan=""5"" halign=""left"">Finance</th>
      <th colspan=""5"" halign=""left"">HR</th>
      <th colspan=""5"" halign=""left"">IT</th>
      <th colspan=""5"" halign=""left"">Marketing</th>
      <th colspan=""5"" halign=""left"">Operations</th>
    </tr>
    <tr>
      <th>JobTitle</th>
      <th>Data Analyst</th>
      <th>HR Specialist</th>
      <th>Junior Developer</th>
      <th>Project Manager</th>
      <th>Senior Developer</th>
      <th>Data Analyst</th>
      <th>HR Specialist</th>
      <th>Junior Developer</th>
      <th>Project Manager</th>
      <th>Senior Developer</th>
      <th>Data Analyst</th>
      <th>HR Specialist</th>
      <th>Junior Developer</th>
      <th>Project Manager</th>
      <th>Senior Developer</th>
      <th>Data Analyst</th>
      <th>HR Specialist</th>
      <th>Junior Developer</th>
      <th>Project Manager</th>
      <th>Senior Developer</th>
      <th>Data Analyst</th>
      <th>HR Specialist</th>
      <th>Junior Developer</th>
      <th>Project Manager</th>
      <th>Senior Developer</th>
    </tr>
    <tr>
      <th>SkillLevel</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Advanced</th>
      <td>38.069944</td>
      <td>16.684379</td>
      <td>35.251616</td>
      <td>7.875869</td>
      <td>19.083821</td>
      <td>4.181112</td>
      <td>17.558238</td>
      <td>13.432995</td>
      <td>11.856819</td>
      <td>29.703733</td>
      <td>43.212707</td>
      <td>27.183631</td>
      <td>48.262162</td>
      <td>18.794325</td>
      <td>31.144526</td>
      <td>23.755839</td>
      <td>20.682039</td>
      <td>42.494590</td>
      <td>36.914429</td>
      <td>12.514420</td>
      <td>20.491553</td>
      <td>7.995532</td>
      <td>17.870307</td>
      <td>35.134862</td>
      <td>11.945674</td>
    </tr>
    <tr>
      <th>Beginner</th>
      <td>15.326936</td>
      <td>3.868391</td>
      <td>1.843048</td>
      <td>40.206658</td>
      <td>17.233655</td>
      <td>12.626670</td>
      <td>29.603527</td>
      <td>18.681486</td>
      <td>26.038016</td>
      <td>7.547801</td>
      <td>19.612035</td>
      <td>22.293166</td>
      <td>1.614617</td>
      <td>43.594375</td>
      <td>42.454158</td>
      <td>16.474008</td>
      <td>5.365339</td>
      <td>46.163001</td>
      <td>31.959932</td>
      <td>48.259978</td>
      <td>38.985352</td>
      <td>46.731022</td>
      <td>16.470390</td>
      <td>47.842432</td>
      <td>41.192181</td>
    </tr>
    <tr>
      <th>Expert</th>
      <td>12.674726</td>
      <td>9.837377</td>
      <td>1.372764</td>
      <td>38.217320</td>
      <td>19.419806</td>
      <td>36.149635</td>
      <td>46.224929</td>
      <td>26.439172</td>
      <td>41.517344</td>
      <td>10.863499</td>
      <td>30.339138</td>
      <td>15.243472</td>
      <td>15.812013</td>
      <td>42.028877</td>
      <td>44.384685</td>
      <td>13.908547</td>
      <td>0.498047</td>
      <td>14.204892</td>
      <td>4.191013</td>
      <td>8.125144</td>
      <td>39.104619</td>
      <td>3.575596</td>
      <td>10.132624</td>
      <td>46.618329</td>
      <td>43.792298</td>
    </tr>
    <tr>
      <th>Intermediate</th>
      <td>45.735235</td>
      <td>15.194638</td>
      <td>18.354765</td>
      <td>27.293632</td>
      <td>41.856943</td>
      <td>28.064316</td>
      <td>4.231794</td>
      <td>25.303289</td>
      <td>10.886009</td>
      <td>38.603687</td>
      <td>24.826169</td>
      <td>39.358895</td>
      <td>5.012330</td>
      <td>28.970036</td>
      <td>27.623383</td>
      <td>36.974283</td>
      <td>18.367653</td>
      <td>48.675138</td>
      <td>48.064092</td>
      <td>19.130588</td>
      <td>7.221552</td>
      <td>18.213425</td>
      <td>14.748047</td>
      <td>2.355279</td>
      <td>8.848641</td>
    </tr>
  </tbody>
</table>",27.293632
27,What is the bonus awarded to employees in the Engineering sector who have been with the company less than or equal to one year and have received a poor performance evaluation?,"SELECT BonusAmount FROM EmployeeWorkPerformance WHERE Department = ""Engineering"" AND PerformanceRating = ""Poor"" AND YearsAtCompany = ""0-1"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>YearsAtCompany</th>
      <th colspan=""4"" halign=""left"">0-1</th>
      <th colspan=""4"" halign=""left"">2-3</th>
      <th colspan=""4"" halign=""left"">4-5</th>
      <th colspan=""4"" halign=""left"">6+</th>
    </tr>
    <tr>
      <th>PerformanceRating</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>8764.497190</td>
      <td>9892.463800</td>
      <td>9291.998132</td>
      <td>6692.684941</td>
      <td>4543.471256</td>
      <td>4231.342339</td>
      <td>2939.503365</td>
      <td>4035.161054</td>
      <td>1195.898621</td>
      <td>371.919337</td>
      <td>3795.204667</td>
      <td>8685.491737</td>
      <td>9916.778945</td>
      <td>5758.350198</td>
      <td>2482.070506</td>
      <td>3124.141390</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>7510.843034</td>
      <td>5804.381762</td>
      <td>9219.031132</td>
      <td>228.308627</td>
      <td>7613.185871</td>
      <td>7512.961053</td>
      <td>2610.276108</td>
      <td>7739.510683</td>
      <td>8129.363755</td>
      <td>4965.611647</td>
      <td>2005.443430</td>
      <td>9309.433809</td>
      <td>7665.942242</td>
      <td>7635.589623</td>
      <td>3574.359394</td>
      <td>5093.682967</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>6749.455467</td>
      <td>7136.822286</td>
      <td>700.845003</td>
      <td>6521.731693</td>
      <td>3706.209211</td>
      <td>4472.934409</td>
      <td>1814.840382</td>
      <td>1255.463085</td>
      <td>6116.884418</td>
      <td>8807.484718</td>
      <td>2467.604769</td>
      <td>569.498267</td>
      <td>9057.570048</td>
      <td>8646.685976</td>
      <td>6936.274133</td>
      <td>4427.995654</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>591.995383</td>
      <td>8762.497912</td>
      <td>1729.950001</td>
      <td>2207.397538</td>
      <td>1739.125889</td>
      <td>2656.325046</td>
      <td>8847.338533</td>
      <td>7914.733878</td>
      <td>4371.101932</td>
      <td>2377.949377</td>
      <td>1326.272536</td>
      <td>3625.197901</td>
      <td>4206.194170</td>
      <td>6435.320536</td>
      <td>4151.705368</td>
      <td>4150.590644</td>
    </tr>
  </tbody>
</table>",6692.684941
