index,question,value,response
25,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"axa, OTC_ADDDF, NYSE_AZ"," axa 21598.00, otc_adddf 21779.00, nyse_az 31774.00"
26,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0, 7635784.0, 3130824.0"," 71040000.00,23800000.00,7635784.00,3130824.00"
27,What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"5100000.0, 1120000.0, 142293.0"," 5100000.00, 1120000.00, 142293.00"
28,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,OTC_BAYZF, otc_bayzf
29,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"vivendi, NYSE_AZ"," vivendi 0.02 mtco2eq, nyse_az 0.03 mtco2eq"
30,What are the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"61.9, 34.51, 0.03, 0.02, 0.0"," 61.90, 34.51, 0.03, 0.02, 0.00"
31,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, vivendi, NYSE_AZ"," nasdaq_dasty, vivendi, nyse_az"
32,Which companies have the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"vivendi, axa, NYSE_AZ, OTC_RWNEF, OTC_ESOCF"," vivendi 22042.00 tco2eq, axa 42423.00 tco2eq, nyse_az 112228.00 tco2eq, otc_rwnef 200000.00 tco2eq, otc_esocf 3280000.00 tco2eq"
33,Which companies have the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"OTC_ESOCF, OTC_BAYZF, axa, NYSE_AZ"," otc_esocf, otc_bayzf, axa, nyse_az"
34,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in million mt CO2e?,vivendi, vivendi
35,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,9720000.0, 9720000.00
36,What are the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"22042.0, 42423.0, 112228.0, 200000.0, 3280000.0"," 22042.00, 42423.00, 112228.00, 200000.00, 3280000.00"
37,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"NASDAQ_DASTY, munich-re, deutsche-telekom-ag, OTC_DPSGY, heidelberg-materials"," nasdaq_dasty, munich-re, deutsche-telekom-ag, otc_dpsgy, heidelberg-materials"
38,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,4510000.0, 4510000.00 tco2eq
39,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"OTC_RWNEF, OTC_BAYZF, munich-re"," otc_rwnef, otc_bayzf, munich-re"
40,What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"0.09, 3.13, 7.64"," 0.09, 3.13, 7.64"
41,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,33.09, 33.09
42,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,OTC_SU, nyse_tte
43,What are the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"23800000.0, 9720000.0, 3130824.0"," 23800000.00, 9720000.00, 3130824.00"
44,Which company has the smallest water consumption from 2022 to 2023 among the following companies in millions of cu.m?,munich-re, munich-re
45,What is the highest energy consumed in the last 2 years among the following companies in million kWh?,166000.0, 166000.00
46,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,OTC_ESOCF," otc_esocf — 34.51 mtco2eq (2023), 53.07 mtco2eq (2022)"
47,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,"OTC_RWNEF, munich-re"," otc_rwnef, munich-re"
48,What are the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"5100000.0, 1120000.0, 37172.0, 30490.0"," 5100000.00, 1120000.00, 37172.00, 30490.00"
49,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"71.04, 23.8, 9.72, 3.13"," 71.04, 23.80, 9.72, 3.13"
